connectable,conn,framework,probe_cmd,source,name,folder
YES,SERIAL,pyserial,,community,mpbcw_laser,mpbcw_laser
YES,SERIAL,pyserial,,community,MX Class,gh_ssi_teledyne_next_generation
YES,SERIAL,pyserial,,community,NanoScan? 2s Si/3.5/1.8 Silicon Scanning 1.8 μm Slit Beam Profiler,nano_scan
YES,SERIAL,pyserial,,community,Nanotec SMCI 步进电机控制器,d_300
YES,SERIAL,pyserial,,community,Netzsch STA 449 F3 Jupiter 同步热分析仪,d_1058
YES,SERIAL,pyserial,,community,Newport ESP300通用运动控制器/驱动器,d_397
YES,SERIAL,pyserial,,community,Newport Oriel Cornerstone 260 单色仪,d_265
YES,SERIAL,pyserial,,community,next_gen_pump,next_gen_pump
YES,SERIAL,pyserial,,community,nGauge 原子力显微镜（AFM）｜芯片式AFM｜纳米表面形貌分析仪｜ICSPI便携式原子力显微镜,spi_device
YES,SERIAL,pyserial,,community,NI-XNET CAN总线,ni_xne_tcan_bus
YES,SERIAL,pyserial,,community,Obis Laser,obis_laser
YES,SERIAL,pyserial,,community,Ohaus Defender 5000 (D52) 工业台秤,d_47
YES,SERIAL,pyserial,,community,Ohaus Explorer EX225D/AD 半微量天平,d_46
YES,SERIAL,pyserial,,community,olympus_ix81_halogen_lamp,olympus_ix81_halogen_lamp
YES,SERIAL,pyserial,,community,Omega D8200 USB数据采集接口模块,d_441
YES,SERIAL,pyserial,,community,OMEGA iSeries Temperature/Process Controller,gh_omega_iseries
YES,SERIAL,pyserial,,community,Omega iServer DRi/DRE 网络温湿度监测器,d_13
YES,SERIAL,pyserial,,community,Omega Platinum系列PID温度/过程控制器,d_442
YES,SERIAL,pyserial,,community,Omicron BrixX Diode Laser,d_751
YES,SERIAL,pyserial,,community,Omicron DeepStar系列高速调制半导体激光器,d_730
YES,SERIAL,pyserial,,community,Omicron LedHUB LED Light Engine,d_752
YES,SERIAL,pyserial,,community,Omicron LuxX 高性能半导体激光器,d_748
YES,SERIAL,pyserial,,community,Omicron LuxX+ 增强型半导体激光器,d_749
YES,SERIAL,pyserial,,community,Omicron PhoxX Diode Laser,d_750
YES,SERIAL,pyserial,,community,OmniCure S2000 UV点固化系统,d_312
YES,SERIAL,pyserial,,community,Open GRBL Controller Board 控制器,grblboard
YES,SERIAL,pyserial,,community,Open Standard Serial,serial_controller
YES,SERIAL,pyserial,,community,Open Standard Serial Bus,serial_bus
YES,SERIAL,pyserial,,community,OpenBCI Brain-Computer Interface Board 控制板 分析仪器 接口模块,open_bci_board
YES,SERIAL,pyserial,,community,Opentrons Opentrons Bioshake Driver,bioshake_driver
YES,SERIAL,pyserial,,community,Opentrons Temperature Module Usb Backend 后端模块 温控设备 后端控制器,opentrons_temperature_module_usb_backend
YES,SERIAL,pyserial,,community,Opentrons Thermocycler Usb Backend 后端模块 PCR仪 后端控制器,opentrons_thermocycler_usb_backend
YES,SERIAL,pyserial,,community,Optris CT 系列红外测温仪,d_321
YES,SERIAL,pyserial,,community,OWIS 精密位移台 自动化设备 位移台,owis
YES,SERIAL,pyserial,,community,Oxxius 激光器控制器 分析仪器 控制器,oxxius_controller
YES,SERIAL,pyserial,,community,Pcan BUS,pcan_bus
YES,SERIAL,pyserial,,community,PEAK PCAN CAN总线适配器,pcan_basic
YES,SERIAL,pyserial,,community,PepSy 开源自动化多肽合成仪,new_2
YES,SERIAL,pyserial,,community,petite_fleur_chiller,petite_fleur_chiller
YES,SERIAL,pyserial,,community,Pfeiffer Rs485 Serial,pfeiffer_rs485_serial
YES,SERIAL,pyserial,,community,Pfeiffer Vacuum TPG 261 Compact Pressure Gauge,tpg261
YES,SERIAL,pyserial,,community,Phd2000,phd2000
YES,SERIAL,pyserial,,community,Photo Research PR-655 SpectraScan 光谱辐射计,d_280
YES,SERIAL,pyserial,,community,Physik Instrumente C-863 Mercury DC电机伺服控制器,d_349
YES,SERIAL,pyserial,,community,Physik Instrumente E-816 压电控制器计算机接口子模块,d_348
YES,SERIAL,pyserial,,community,Physik Physik Instrumente Scpi Functional,scpi_functional
YES,SERIAL,pyserial,,community,PI E-709 Digital Piezo Controller,d_763
YES,SERIAL,pyserial,,community,PI E-725 Digital Piezo Controller,d_762
YES,SERIAL,pyserial,,community,picosecond_delayer,picosecond_delayer
YES,SERIAL,pyserial,,community,piezo_e255,piezo_e255
YES,SERIAL,pyserial,,community,PiezoMotor PMD301 Piezo LEGS压电电机控制器,d_778
YES,SERIAL,pyserial,,community,PiezoMotor PMD401 Piezo LEGS压电电机控制器,d_777
YES,SERIAL,pyserial,,core,pipette_controller,liquid_handling/laiyu/controllers/pipette_controller.py
YES,SERIAL,pyserial,,community,pipette_controller,pipette_controller
YES,SERIAL,pyserial,,community,Port Reader,port_reader
YES,SERIAL,pyserial,,community,pressure_trans,pressure_trans
YES,SERIAL,pyserial,,community,Prior,prior
YES,SERIAL,pyserial,,community,Prior ProScanIII 显微镜自动化控制器,d_738
YES,SERIAL,pyserial,,community,Prior Scientific ProScan III 多轴显微镜控制器,d_14
YES,SERIAL,pyserial,,community,Prior Scientific ProScan 显微镜控制器,d_15
YES,SERIAL,pyserial,,community,prior_lumen,prior_lumen
YES,SERIAL,pyserial,,community,priorarclampshutter,priorarclampshutter
YES,SERIAL,pyserial,,community,PRO Scan III,pro_scan_iii
YES,SERIAL,pyserial,,community,PRO Scan III Connection,__pro_scan_iii_connection
YES,SERIAL,pyserial,,core,prototype_sensor,temperature/prototype_sensor.py
YES,SERIAL,pyserial,,community,Pump,pump
YES,SERIAL,pyserial,,community,PWM Steering,pwm_steering
YES,SERIAL,pyserial,,community,PWM Throttle,pwm_throttle
YES,SERIAL,pyserial,,community,Pylon COM,pylon_com
YES,SERIAL,pyserial,,community,Pylontech,pylontech
YES,SERIAL,pyserial,,community,Pylontech Rs485,pylontech_rs485
YES,SERIAL,pyserial,,community,pyro_io,pyro_io
YES,SERIAL,pyserial,,community,PyroScience FireSting-O2 光纤溶氧仪,d_323
YES,SERIAL,pyserial,,community,RCT 5 digital,gh_ika_rct_5_digital
YES,SERIAL,pyserial,,community,Register Interface,register_interface
YES,SERIAL,pyserial,,community,Reliable EL-FLOW Select mass flow meter/controller,bronkhorst_elflow
YES,SERIAL,pyserial,,community,Rheodyne MX II Stand-Alone Valves,gh_idex_rheodyne_mx_series_ii
YES,SERIAL,pyserial,,core,rmaxis_v4,gripper/rmaxis_v4.py
YES,SERIAL,pyserial,,community,Robotell BUS,robotell_bus
YES,SERIAL,pyserial,,community,Robotics Masters Robo Hat,robo_hat_driver
YES,SERIAL,pyserial,,community,Robotics Masters Robo Hat,robo_hat_controller
YES,SERIAL,pyserial,,community,Rodeostat: open source potentiostat,gh_iorodeo_rodeostat
YES,SERIAL,pyserial,,community,Rotary Encoder,rotary_encoder
YES,SERIAL,pyserial,,core,rotavap_one,rotavap/rotavap_one.py
YES,SERIAL,pyserial,,community,Rotrics DexArm 多功能桌面机械臂,d_294
YES,SERIAL,pyserial,,community,Routable,routable
YES,SERIAL,pyserial,,community,RP Lidar,rp_lidar
YES,SERIAL,pyserial,,community,RP Lidar2,rp_lidar2
YES,SERIAL,pyserial,,core,runze_multiple_backbone,pump_and_valve/runze_multiple_backbone.py
YES,SERIAL,pyserial,,community,Sartorius EA/EB/GD/GE/TE系列电子天平,d_8
YES,SERIAL,pyserial,,community,Sartorius Quintix,gh_sartorius_quintix
YES,SERIAL,pyserial,,community,Sartorius rLINE,gh_sartorius_rline
YES,SERIAL,pyserial,,community,Scanner Interface,scanner_interface
YES,SERIAL,pyserial,,community,Scientific Industries Vortex-Genie 2 涡旋混合器,d_1051
YES,SERIAL,pyserial,,community,sdk_wrapper,sdk_wrapper
YES,SERIAL,pyserial,,core,sealer,sealer/sealer.py
YES,SERIAL,pyserial,,community,Search,gh_wpi_al1000
YES,SERIAL,pyserial,,community,Seeed Studio Seeed Bus,seeed_bus
YES,SERIAL,pyserial,,community,Sensirion AG Sensirion Sensor Bridge,sensirion_sensor_bridge
YES,SERIAL,pyserial,,core,sensor_node,temperature/sensor_node.py
YES,SERIAL,pyserial,,community,Serial,serial
YES,SERIAL,pyserial,,community,Serial Client,serial_client
YES,SERIAL,pyserial,,community,Serial Device,serial_device
YES,SERIAL,pyserial,,community,Serial Line Reader,serial_line_reader
YES,SERIAL,pyserial,,community,Serial Port,serial_port
YES,SERIAL,pyserial,,community,serial_command_interface,serial_command_interface
YES,SERIAL,pyserial,,community,serial_connection,serial_connection
YES,SERIAL,pyserial,,community,serial_data_interface,serial_data_interface
YES,SERIAL,pyserial,,community,serial_interface,serial_interface
YES,SERIAL,pyserial,,community,Servo Blaster,servo_blaster
YES,SERIAL,pyserial,,community,servo_fiber_shaker,servo_fiber_shaker
YES,SERIAL,pyserial,,community,Shared Serial,shared_serial
YES,SERIAL,pyserial,,community,Shimadzu GCMS-QP2020 NX 单四极杆气质联用仪,d_1059
YES,SERIAL,pyserial,,community,Shimadzu Nexera X2超高效液相色谱系统,d_1022
YES,SERIAL,pyserial,,community,Shimadzu Nexera X2超高效液相色谱仪,d_93
YES,SERIAL,pyserial,,community,Shimadzu RF-5301PC 荧光分光光度计,d_1066
YES,SERIAL,pyserial,,community,SI Uart,si_uart
YES,SERIAL,pyserial,,community,Signal Recovery 7265 双相DSP锁相放大器,d_214
YES,SERIAL,pyserial,,community,Signal Recovery 7280 宽带DSP锁相放大器,d_215
YES,SERIAL,pyserial,,community,Slamtec RPLiDAR Laser Range Scanner 扫描仪,r_py_lidar
YES,SERIAL,pyserial,,community,Slave Serial Worker,slave_serial_worker
YES,SERIAL,pyserial,,community,Slcan BUS,slcan_bus
YES,SERIAL,pyserial,,core,solenoid_valve,pump_and_valve/solenoid_valve.py
YES,SERIAL,pyserial,,community,Spectra III Light Engine,spectra_iii_light_engine
YES,SERIAL,pyserial,,community,Standard Infuse/Withdraw PHD 22/2000 Syringe Pumps,gh_harvard_apparatus_pump_11
YES,SERIAL,pyserial,,community,Stanford Research Systems SR844 射频锁相放大器,d_613
YES,SERIAL,pyserial,,community,Starna 用于各种光谱仪的石英样品比色池,star_backend
YES,SERIAL,pyserial,,community,str,gh_montana_instruments_cryostation
YES,SERIAL,pyserial,,community,str,cesar1312
YES,SERIAL,pyserial,,community,str,gh_agilent_e4980a
YES,SERIAL,pyserial,,community,Stream Pipe,stream_pipe
YES,SERIAL,pyserial,,community,Stream Serial,stream_serial
YES,SERIAL,pyserial,,community,Stream Socket,stream_socket
YES,SERIAL,pyserial,,community,String,cito_plus1310
YES,SERIAL,pyserial,,community,Sutter Device,sutter_device
YES,SERIAL,pyserial,,community,Sutter Lambda 10-3 光学滤光轮控制器,d_18
YES,SERIAL,pyserial,,community,Sycon STM-100 薄膜厚度/速率监控仪,d_289
YES,SERIAL,pyserial,,community,TCP Client,tcp_client
YES,SERIAL,pyserial,,community,tcpip_connection,tcpip_connection
YES,SERIAL,pyserial,,community,T-Cube步进电机控制器,d_650
YES,SERIAL,pyserial,,community,T-Cube激光二极管控制器,d_660
YES,SERIAL,pyserial,,community,T-Cube无刷直流电机控制器,d_653
YES,SERIAL,pyserial,,community,T-Cube压电控制器,d_651
YES,SERIAL,pyserial,,community,Tecan Tecan Group Liquid Level,liquid_level
YES,SERIAL,pyserial,,community,Tecan Tecan Group Ptc,ptc
YES,SERIAL,pyserial,,community,Teledyne Isco 260D,gh_teledyne_isco_260d
YES,SERIAL,pyserial,,community,Teledyne SSI ReaXus LD Class低死体积双柱塞HPLC泵,d_177
YES,SERIAL,pyserial,,community,Thermo Heraeus Cytomat 培养箱 培养箱 培养箱,heraeus_cytomat_backend
YES,SERIAL,pyserial,,community,Thermo NESLAB RTE-740/RTE-111 制冷加热循环浴,d_64
YES,SERIAL,pyserial,,community,Thermo Scientific ThermoFlex 循环冷水机,d_11
YES,SERIAL,pyserial,,community,Thorlabs BSC201单通道台式步进电机控制器,d_447
YES,SERIAL,pyserial,,community,Thorlabs BSC203三通道台式步进电机控制器,d_448
YES,SERIAL,pyserial,,community,Thorlabs ELL12 六位电动光学滑块,d_741
YES,SERIAL,pyserial,,community,Thorlabs Filter Wheel,thorlabs_filter_wheel
YES,SERIAL,pyserial,,community,Thorlabs MPC320电动光纤偏振控制器,d_452
YES,SERIAL,pyserial,,community,Thorlabs PAX1000系列高动态范围偏振分析仪,d_454
YES,SERIAL,pyserial,,community,toptica_i_beam_laser,toptica_i_beam_laser
YES,SERIAL,pyserial,,community,Trinamic TMCM-1110 StepRocker单轴步进电机控制器/驱动器,d_697
YES,SERIAL,pyserial,,community,Trinamic TMCM-1140 Stepper Motor Controller/Driver Module,d_771
YES,SERIAL,pyserial,,community,Trinamic TMCM-1211 STEPROCKER Stepper Motor Controller/Driver Module,d_773
YES,SERIAL,pyserial,,community,Trinamic TMCM-3110三轴步进电机控制器/驱动器模块,d_698
YES,SERIAL,pyserial,,community,Trinamic TMCM-3214 3-Axis Stepper Motor Controller,d_772
YES,SERIAL,pyserial,,community,Trinamic TMCM-6110六轴步进电机控制器/驱动器模块,d_699
YES,SERIAL,pyserial,,community,UFACTORY UFACTORY Uxbus Cmd,uxbus_cmd
YES,SERIAL,pyserial,,community,Uniblitz VLM1 电磁光学快门,d_373
YES,SERIAL,pyserial,,community,Universal Real-Time Data Exchange Protocol,rtde
YES,SERIAL,pyserial,,community,Universal Robots UR16e重载协作机器人,d_1012
YES,SERIAL,pyserial,,community,UR16e重载协作机械臂,d_83
YES,SERIAL,pyserial,,community,USBtin CAN总线适配器,us_btin
YES,SERIAL,pyserial,,community,UXC 1000,gh_specs_xrc1000
YES,SERIAL,pyserial,,community,VICI Valco Cheminert E90电动执行器,d_105
YES,SERIAL,pyserial,,community,VICI Valco E90 Cheminert电动多通阀,d_1034
YES,SERIAL,pyserial,,community,VICI Valco 多位置选择阀,d_72
YES,SERIAL,pyserial,,community,VICI Valco两位多通阀,d_456
YES,SERIAL,pyserial,,community,Voltcraft K204 四通道热电偶温度记录仪,d_322
YES,SERIAL,pyserial,,core,xpeel,xpeel/xpeel.py
YES,SERIAL,pyserial,,core,xyz_controller,liquid_handling/laiyu/controllers/xyz_controller.py
YES,SERIAL,pyserial,,core,xyz_stepper_driver,liquid_handling/laiyu/drivers/xyz_stepper_driver.py
YES,SERIAL,pyserial,,community,y_serial_port,y_serial_port
YES,SERIAL,pyserial,,community,YD Lidar,yd_lidar
YES,SERIAL,pyserial,,community,Zaber Binary协议电机控制器,d_457
YES,SERIAL,pyserial,,community,Zaber Connection,__zaber_connection
YES,SERIAL,pyserial,,community,Zaber Daisy Chain,zaber_daisy_chain
YES,SERIAL,pyserial,,community,Zaber LED Controller,__zaber_led_controller
YES,SERIAL,pyserial,,community,Zaber Nucleus X-LCA4 四通道LED控制器,d_739
YES,SERIAL,pyserial,,community,Zaber T-NA 微型电动线性致动器,d_374
YES,SERIAL,pyserial,,community,Zaber X-ADR130 线性电机扫描显微镜台,d_19
YES,SERIAL,pyserial,,community,Zeiss SmartSEM,d_759
YES,SERIAL,pyserial,,community,ZwickRoell zwickiLine 万能试验机,d_137
YES,SERIAL,pyserial,,community,艾立本Aliben- LT.D00台式激光诱导击穿光谱仪,lib_ftdi
YES,SERIAL,pyserial,,community,单通道压电控制器,d_655
YES,SERIAL,pyserial,,community,电动4位置滤光片滑块,d_666
YES,SERIAL,pyserial,,community,电动双位置滑块,d_665
YES,SERIAL,pyserial,,community,电动旋转台,d_667
YES,SERIAL,pyserial,,community,韩国ilSHinBioBase 进口深冷冻箱 GUDERO CHEST系列,base_streamer
YES,SERIAL,pyserial,,community,模块化机架步进电机控制器,d_656
YES,SERIAL,pyserial,,community,模块化机架压电控制器,d_657
YES,SERIAL,pyserial,,community,纳米定位器控制器,d_658
YES,SERIAL,pyserial,,community,通用串口仪器接口,basic_serial_instrument
YES,SERIAL,pyserial,,community,无法访问此网站,gh_zke_ebc_a05
YES,SERIAL,pyserial,,community,直流伺服电机控制器,d_659
YES,VISA_SCPI,scpi-framework,*IDN?,community,2600B Series SMU,gh_keithley_2601b
YES,VISA_SCPI,scpi-framework,*IDN?,community,2600B Series SMU,gh_keithley_2602b
YES,VISA_SCPI,scpi-framework,*IDN?,community,2600B Series SMU,gh_keithley_2614b
YES,VISA_SCPI,scpi-framework,*IDN?,community,2600B Series SMU,gh_keithley_2636b
YES,VISA_SCPI,scpi-framework,*IDN?,community,2600B Series SMU,gh_keithley_2604b
YES,VISA_SCPI,scpi-framework,OUTP:LOAD?,community,"33220A Function / Arbitrary Waveform Generator, 20 MHz [Obsolete]",agilent33220a
YES,VISA_SCPI,scpi-framework,*IDN?,community,3325A Synthesizer/Function Generator [Obsolete],hp3325a
YES,VISA_SCPI,scpi-framework,DATA:POIN?,community,"34410A Digital Multimeter, 6? Digit [Obsolete]",agilent34410a
YES,VISA_SCPI,scpi-framework,:PAGE:SCON:MEAS:SING; *OPC?,community,4156C Precision Semiconductor Parameter Analyzer [Obsolete],gh_agilent_4156
YES,VISA_SCPI,scpi-framework,?,community,437B High Performance Single Channel Average Power Meter [Obsolete],hp437_b
YES,VISA_SCPI,scpi-framework,*ID?,community,59501B D/A CONVERTER [Obsolete],hp59501_b
YES,VISA_SCPI,scpi-framework,SOURce:FREQuency:MODE?,community,85645A 300 kHz to 26.5 GHz tracking source [Obsolete],hp85645_a
YES,VISA_SCPI,scpi-framework,OPC?;PRES,community,8753D RF矢量网络分析仪,d_485
YES,VISA_SCPI,lantz/VISA,*IDN?,community,A&D G系列,gh_ad_g
YES,VISA_SCPI,lantz/VISA,MEAS:VOLT:DC?,community,A/D Sense Board 传感板,a2_d_sense_board
YES,VISA_SCPI,lantz/VISA,B,community,Accretech UF200/UF300 晶圆探针台,d_262
YES,VISA_SCPI,lantz/VISA,MEAS:VOLT?,community,Advanced ATE System Power Supplies,n8700
YES,VISA_SCPI,scpi-framework,*IDN?,community,Advantest R3767CG 矢量网络分析仪,d_790
YES,VISA_SCPI,scpi-framework,*IDN?,community,Advantest R6245 直流电压/电流源监测器,d_791
YES,VISA_SCPI,scpi-framework,*IDN?,community,Advantest R6246 双通道直流电压/电流源监测器,d_792
YES,VISA_SCPI,scpi-framework,*OPC?,community,AFG3152C任意函数发生器,d_885
YES,VISA_SCPI,lantz/VISA,*OPC?,community,Agilent/Keysight 33500系列 Trueform波形发生器,d_793
YES,VISA_SCPI,lantz/VISA,STAT:OPER?,community,Agilent/Keysight 4284A 精密LCR表,d_796
YES,VISA_SCPI,scpi-framework,OUTPERRO?,community,Agilent/Keysight 4294A 精密阻抗分析仪,d_797
YES,VISA_SCPI,lantz/VISA,POIN?,community,Agilent/Keysight 8722ES 矢量网络分析仪,d_799
YES,VISA_SCPI,lantz/VISA,RAMP:RATE:UNITS?,community,AMI Model 430 Power Supply Programmer,ami430
YES,VISA_SCPI,lantz/VISA,display:global:{}:state?,community,AMPTEK AMPTEK FASTSDD DP5-X,tek_series_curve_feat
YES,VISA_SCPI,scpi-framework,*IDN?,community,Andeen-Hagerling AH 2700A Capacitance Bridge,gh_andeen_hagerling_ah_2700a
YES,VISA_SCPI,scpi-framework,*IDN?,community,Andeen-Hagerling AH 2700A Capacitance Bridge,gh_andeen_hagerling_ah2700a
YES,VISA_SCPI,scpi-framework,:OUTPUT?,community,Anritsu MG3692C 微波信号发生器,d_811
YES,VISA_SCPI,scpi-framework,*OPC?,community,Anritsu MS9710C 光谱分析仪,d_817
YES,VISA_SCPI,scpi-framework,OS;E,community,AQ6373B可见光波长光谱分析仪,d_899
YES,VISA_SCPI,scpi-framework,OS;E,community,AQ6373可见光波长光谱分析仪,d_898
YES,VISA_SCPI,lantz/VISA,INSTR:IO:READ:ANA? (@{ch}),community,Arduino I/O 控制器 实验设备 控制器,arduino_io
YES,VISA_SCPI,scpi-framework,TE,community,AXIS-TEC激光晶圆划片机AX-LS100,axis
YES,VISA_SCPI,lantz/VISA,MEAS:VOLT:DC?,community,B&K Precision 8601 DC Electronic Load,bk8600
YES,VISA_SCPI,lantz/VISA,*IDN?,community,B&K Precision 9103 Multi-Range DC Power Supply,bk9100
YES,VISA_SCPI,scpi-framework,MEASure:SCALar:VOLTage:DC?,community,BK Precision 9130B 三路输出可编程直流电源,d_819
YES,VISA_SCPI,lantz/VISA,1UNIT?,community,BX53 Semi-Motorized Fluorescence Microscope | Evident Scientific | Olympus,bx2_a
YES,VISA_SCPI,lantz/VISA,gsn?,community,Cobolt 06-01 Series Diode Laser,cobolt0601
YES,VISA_SCPI,lantz/VISA,PRINT {},community,Coherent Innova 300C 氩离子激光器,argon_innova300_c
YES,VISA_SCPI,lantz/VISA,PRINT {},community,Coherent Innova 300C 氩离子激光器 分析仪器 激光器,innova300_c
YES,VISA_SCPI,scpi-framework,(param-set! ,community,Communicates with a `Toptica Topmode`_ instrument,top_mode
YES,VISA_SCPI,scpi-framework,*OPC?;SYST:PRES,community,Copper Mountain S5048 矢量网络分析仪,d_568
YES,VISA_SCPI,lantz/VISA,GET VL,community,Cryogenic SMS120C 超导磁铁电源,d_569
YES,VISA_SCPI,scpi-framework,{}.units?,community,Cryogenic Temperature Controller - CTC100,gh_stanford_research_systems_ctc100
YES,VISA_SCPI,scpi-framework,MEAS? 1,community,Cryomagnetics LM-500 液态低温液位计,d_570
YES,VISA_SCPI,scpi-framework,UNITS?,community,Cryomagnetics Model 4G 超导磁铁电源,d_571
YES,VISA_SCPI,scpi-framework,*IDN?,community,CS580 Current Source,gh_stanford_research_systems_cs580
YES,VISA_SCPI,scpi-framework,PO,community,Danfysik System 8500 电流稳定高性能电源,d_820
YES,VISA_SCPI,lantz/VISA,TIM:OFFS?,community,DHO4000,rigol_ds4043
YES,VISA_SCPI,scpi-framework,DISP?,community,Digital Delay/Pulse Generator - DG645,srsdg645
YES,VISA_SCPI,lantz/VISA,:MEAS:VOLT:DC?,community,DL3000,dl3000
YES,VISA_SCPI,lantz/VISA,:MEAS:VOLT?,community,DP800,dp800
YES,VISA_SCPI,scpi-framework,:ACQ:AVER?,community,DS1000Z-E,rigol_ds1000_series
YES,VISA_SCPI,lantz/VISA,MEAS:VOLT?,community,"E3631A 80W Triple Output Power Supply, 6V, 5A & ±25V, 1A [Obsolete]",e3631_a
YES,VISA_SCPI,scpi-framework,SYSTem:ERRor?,community,"E4406A VSA Transmitter Tester, 7 MHz to 4 GHz [Obsolete]",agilent_e4406_a
YES,VISA_SCPI,scpi-framework,:INST:SEL?,community,"E4432B ESG-D Series Digital RF Signal Generator, 3 GHz [Obsolete]",agilent_e44nn
YES,VISA_SCPI,scpi-framework,CALC1:PAR:CAT?,community,"E8357A PNA Network Analyzer, 300 kHz to 6 GHz [Obsolete]",agilent_e8357_a
YES,VISA_SCPI,lantz/VISA,*IDN?,community,Enumerate,enumerate
YES,VISA_SCPI,scpi-framework,:INST:SEL?,community,Expert Signal Analyzers: N9030B,keysight_n90nn_b
YES,VISA_SCPI,scpi-framework,AMPL?,community,Function Generator - DS345,srs345
YES,VISA_SCPI,lantz/VISA,INSTR:READ:ANA? (@{ch}),community,Generic A/D DAQ Module 数据采集模块,a2_d_daq
YES,VISA_SCPI,lantz/VISA,INSTR:RS485?,community,Generic A/D Electronic Load 电子负载,a2_d__eload
YES,VISA_SCPI,lantz/VISA,MEAS:VOLT:DC?,community,Generic A/D Power Board 电源板,a2_d_power_board
YES,VISA_SCPI,lantz/VISA,INSTR:DAQ:GET:NCHS?,community,Generic A/D Relay Board 继电器板,a2_d__relay__board
YES,VISA_SCPI,lantz/VISA,*IDN?,community,Generic A2023a,a2023a
YES,VISA_SCPI,scpi-framework,#NAME?,community,Generic Gpib Communicator GPIB设备,gpib_communicator
YES,VISA_SCPI,lantz/VISA,{} !RFGAIN,community,Generic High Resolution Imager,hri
YES,VISA_SCPI,lantz/VISA,*IDN?,community,Generic Ieee4882 Driver,ieee4882_driver
YES,VISA_SCPI,lantz/VISA,*IDN?,community,Generic LCR Meter Measurement Backend 后端控制器,lcr__backend
YES,VISA_SCPI,lantz/VISA,*IDN?,community,Generic Measurement Instrument Interface 接口模块,measurement
YES,VISA_SCPI,lantz/VISA,VOUT?,community,Generic MP71025-X Motion Controller 运动控制器,mp71025_x
YES,VISA_SCPI,lantz/VISA,*IDN?,community,Generic Programmable Power Supply 电源,power_supply_device
YES,VISA_SCPI,lantz/VISA,*IDN?,community,Generic Pyroelectric Measurement Backend 后端控制器,pyroelectric_backend
YES,VISA_SCPI,lantz/VISA,*IDN?,community,Generic RT Measurement Backend (Active) 后端控制器,rt__backend__active
YES,VISA_SCPI,lantz/VISA,*IDN?,community,Generic RT Measurement Backend (Passive) 后端控制器,rt__backend__passive
YES,VISA_SCPI,scpi-framework,INF6,community,Generic TC038 Temperature Controller 温度控制器,tc038
YES,VISA_SCPI,lantz/VISA,*IDN?,community,Generic Variable Temperature Backend (Passive) 后端控制器,vt__backend__passive
YES,VISA_SCPI,lantz/VISA,*IDN?,community,Generic Variable Temperature Measurement Backend 后端控制器,vt__backend
YES,VISA_SCPI,lantz/VISA,GETMODEL,community,Generic Visible Fiber Laser 激光器,vfl
YES,VISA_SCPI,scpi-framework,*VER,community,Gentec Maestro 激光功率能量计,d_573
YES,VISA_SCPI,scpi-framework,*GAN,community,Gentec-EO BLU 无线激光功率计,d_405
YES,VISA_SCPI,scpi-framework,V,community,Glassman FR系列高压直流电源,d_426
YES,VISA_SCPI,scpi-framework,V,community,Glassman Glassman Fr,glassman_fr
YES,VISA_SCPI,scpi-framework,SOUR:VOLT?,community,Hewlett-Packard HP E3631A Triple Output Power Supply 电源,h_pe3631a
YES,VISA_SCPI,lantz/VISA,:{}:FREQ?,community,Holzworth HS9008B 多通道相位相干射频合成器,d_575
YES,VISA_SCPI,lantz/VISA,*IDN?,community,HP 4395A Network/Spectrum/Impedance Analyzer,hp4395_a
YES,VISA_SCPI,scpi-framework,SOURce:FUNCtion:SHAPe?,community,HP 8116A 50 MHz Pulse/Function Generator,hp8116_a
YES,VISA_SCPI,scpi-framework,ID?,community,HP 8594E 便携式频谱分析仪,d_577
YES,VISA_SCPI,lantz/VISA,*IDN?,community,HP 8753E RF矢量网络分析仪,d_832
YES,VISA_SCPI,scpi-framework,ID,community,HP 8901B 调制分析仪,hp8901_b
YES,VISA_SCPI,scpi-framework,CST,community,Hp8903 B,hp8903_b
YES,VISA_SCPI,lantz/VISA,RERR,community,IPG Photonics YAR 掺镱连续光纤放大器,d_839
YES,VISA_SCPI,lantz/VISA,MEAS:VOLT:DC?,community,ITECH IT8500+ 可编程直流电子负载,it8500
YES,VISA_SCPI,lantz/VISA,*IDN?,community,JA Visa,ja_visa
YES,VISA_SCPI,lantz/VISA,*IDN?,community,Keithley 2100 6.5位USB数字万用表,d_326
YES,VISA_SCPI,lantz/VISA,*IDN?,community,Keithley 2110 5.5位双显示数字万用表,d_327
YES,VISA_SCPI,lantz/VISA,*IDN?,community,Keithley 236精密源表,d_186
YES,VISA_SCPI,scpi-framework,:READ?,community,Keithley 2400 Standard Series SMU,gh_keithley_2401
YES,VISA_SCPI,lantz/VISA,*IDN?,community,Keithley 2700 万用表/数据采集/开关系统,d_234
YES,VISA_SCPI,lantz/VISA,*IDN?,community,Keithley 2701 以太网万用表/数据采集系统,d_328
YES,VISA_SCPI,lantz/VISA,*IDN?,community,Keithley 2750 万用表/开关系统,d_329
YES,VISA_SCPI,lantz/VISA,*IDN?,community,Keithley 4200A-SCS半导体参数分析仪,d_187
YES,VISA_SCPI,scpi-framework,U0X,community,Keithley 485 Autoranging Picoammeter,keithley485
YES,VISA_SCPI,scpi-framework,:READ?,community,Keithley 6430,gh_keithley_6430
YES,VISA_SCPI,scpi-framework,FETC?,community,Keithley 6514,gh_keithley_6514
YES,VISA_SCPI,scpi-framework,FETC?,community,Keithley 6514 System Electrometer,keithley6514
